ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
11819796,JC423098,9/6/2019 22:22,115XX S MICHIGAN AVE,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,TRUE,FALSE,532,5,9,53,26,1178884,1828608,2019,9/13/2019 16:16,41.68499224,-87.62077983,"(41.684992237, -87.620779831)",30,21861,50,229,43,19,10,219
11822735,JC426708,9/6/2019 22:20,095XX S WESTERN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER,FALSE,FALSE,2213,22,19,72,14,1162051,1841394,2019,9/13/2019 16:16,41.72044478,-87.68204732,"(41.720444777, -87.682047321)",33,22212,71,629,42,13,9,252
11819750,JC423058,9/6/2019 22:19,079XX S COTTAGE GROVE AVE,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,SIDEWALK,TRUE,FALSE,624,6,8,44,18,1182931,1852587,2019,9/13/2019 16:16,41.75070072,-87.60522257,"(41.750700724, -87.60522257)",9,21546,40,11,35,61,20,227
11819805,JC423032,9/6/2019 22:19,0000X W 79TH ST,460,BATTERY,SIMPLE,CTA TRAIN,FALSE,FALSE,623,6,6,44,08B,1177483,1852629,2019,9/13/2019 16:16,41.75094076,-87.62518522,"(41.750940757, -87.625185222)",31,21554,67,495,32,59,20,228
11819828,JC423108,9/6/2019 22:16,053XX W RACE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,TRUE,FALSE,1523,15,37,25,15,1140697,1903038,2019,9/13/2019 16:16,41.89002269,-87.75875366,"(41.890022694, -87.758753657)",4,22216,26,673,45,32,25,84
11824369,JC428576,9/6/2019 22:10,058XX W 60TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,FALSE,FALSE,812,8,13,64,14,1138532,1864186,2019,9/13/2019 16:16,41.78344639,-87.76764431,"(41.783446393, -87.767644306)",23,22268,62,265,15,7,13,272
11819843,JC423061,9/6/2019 22:10,063XX S KEELER AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,VEHICLE NON-COMMERCIAL,FALSE,FALSE,813,8,13,65,7,1149455,1862452,2019,9/13/2019 16:16,41.77848384,-87.727641,"(41.778483841, -87.727640997)",23,21867,63,6,6,58,13,271
11820178,JC423042,9/6/2019 22:09,038XX W MADISON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER,FALSE,FALSE,1122,11,28,26,14,1150898,1899740,2019,9/13/2019 16:16,41.88077908,-87.72137703,"(41.880779076, -87.721377025)",11,21572,27,736,23,30,16,82
11819775,JC423075,9/6/2019 22:09,015XX S PULASKI RD,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,STREET,TRUE,FALSE,1014,10,24,29,18,1149967,1892207,2019,9/13/2019 16:16,41.86012582,-87.72499164,"(41.860125821, -87.72499164)",36,21569,30,33,14,57,21,156
11819783,JC423109,9/6/2019 22:07,063XX N KENMORE AVE,1330,CRIMINAL TRESPASS,TO LAND,COLLEGE/UNIVERSITY RESIDENCE HALL,TRUE,FALSE,2433,24,48,77,26,1168087,1942261,2019,9/13/2019 16:16,41.997105,-87.65702872,"(41.997105, -87.657028722)",3,4451,76,212,16,14,11,50
11819788,JC423048,9/6/2019 22:06,099XX S EWING AVE,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,432,4,10,52,08B,1202137,1839827,2019,9/13/2019 16:16,41.71521884,-87.53527775,"(41.71521884, -87.535277751)",47,21202,49,528,47,25,19,247
11819862,JC423194,9/6/2019 22:05,014XX W WEBSTER AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1811,18,2,7,6,1165981,1914731,2019,9/13/2019 16:16,41.92160694,-87.66556501,"(41.921606937, -87.665565006)",16,21190,68,210,11,16,14,186
11819739,JC423033,9/6/2019 22:04,033XX W EVERGREEN AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1422,14,26,23,7,1153773,1908780,2019,9/13/2019 16:16,41.90552898,-87.71057927,"(41.905528975, -87.710579266)",10,4299,24,455,49,5,7,190
11819736,JC423045,9/6/2019 22:03,047XX W HARRISON ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,VEHICLE NON-COMMERCIAL,TRUE,FALSE,1131,11,24,25,18,1144819,1896930,2019,9/13/2019 16:16,41.87318487,-87.74376973,"(41.873184872, -87.743769733)",36,22216,26,69,14,32,16,143
11819738,JC423046,9/6/2019 22:01,055XX S THROOP ST,5111,OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,STREET,TRUE,FALSE,713,7,16,67,26,1168603,1868030,2019,9/13/2019 16:16,41.793399,-87.65728222,"(41.793398998, -87.657282217)",19,22257,65,297,2,23,17,266
11819830,JC423060,9/6/2019 22:01,015XX W MELROSE ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,FALSE,FALSE,1922,19,44,6,08B,1165512,1921660,2019,9/13/2019 16:16,41.94063051,-87.6670904,"(41.940630506, -87.667090395)",38,4449,57,678,25,22,5,19
11819772,JC423041,9/6/2019 22:00,014XX N MAGNOLIA AVE,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1433,14,27,24,6,1167652,1909791,2019,9/13/2019 16:16,41.90801542,-87.65956794,"(41.908015415, -87.659567936)",16,22620,25,109,46,49,7,191
